"cohort_month","cohort_size","eligible_day_1_users","retained_day_1_users","day_1_retention_rate_pct","eligible_day_7_users","retained_day_7_users","day_7_retention_rate_pct","eligible_day_30_users","retained_day_30_users","day_30_retention_rate_pct"
"2018-01-01",10156,10156,206,2.03,10156,592,5.83,10156,290,2.86
"2018-02-01",9630,9630,219,2.27,9630,574,5.96,9630,263,2.73
"2018-03-01",11191,11191,224,2.00,11191,628,5.61,11191,306,2.73
"2018-04-01",11387,11387,231,2.03,11387,664,5.83,11387,337,2.96
"2018-05-01",12372,12372,254,2.05,12372,731,5.91,12372,354,2.86
"2018-06-01",12588,12588,247,1.96,12588,745,5.92,12588,360,2.86
"2018-07-01",13678,13678,311,2.27,13678,780,5.70,13678,401,2.93
"2018-08-01",14392,14392,291,2.02,14392,837,5.82,14392,401,2.79
"2018-09-01",14645,14645,302,2.06,14645,907,6.19,14645,414,2.83
"2018-10-01",15911,15911,304,1.91,15911,938,5.90,15911,427,2.68
"2018-11-01",16189,16189,345,2.13,16189,998,6.16,16189,465,2.87
"2018-12-01",17590,17590,328,1.86,17590,1044,5.94,17590,499,2.84
"2019-01-01",18510,18510,365,1.97,18510,1136,6.14,18510,516,2.79
"2019-02-01",17549,17549,349,1.99,17549,1076,6.13,17549,509,2.90
"2019-03-01",20396,20396,402,1.97,20396,1173,5.75,20396,565,2.77
"2019-04-01",20752,20752,401,1.93,20752,1228,5.92,20752,571,2.75
"2019-05-01",22548,22548,444,1.97,22548,1357,6.02,22548,620,2.75
"2019-06-01",22942,22942,467,2.04,22942,1335,5.82,22942,653,2.85
"2019-07-01",24926,24926,498,2.00,24926,1457,5.85,24926,706,2.83
"2019-08-01",26230,26230,564,2.15,26230,1549,5.91,26230,725,2.76
"2019-09-01",26689,26689,520,1.95,26689,1627,6.10,26689,736,2.76
"2019-10-01",28998,28998,595,2.05,28998,1638,5.65,28998,807,2.78
"2019-11-01",29505,29505,598,2.03,29505,1769,6.00,29505,839,2.84
"2019-12-01",32057,32057,632,1.97,32057,1914,5.97,32057,884,2.76
"2020-01-01",33733,33733,689,2.04,33733,1915,5.68,33733,918,2.72
"2020-02-01",33152,33152,665,2.01,33152,1849,5.58,33152,907,2.74
"2020-03-01",37231,37231,730,1.96,37231,2172,5.83,37231,1060,2.85
"2020-04-01",37884,37884,808,2.13,37884,2233,5.89,37884,1105,2.92
"2020-05-01",41159,41159,781,1.90,41159,2409,5.85,41159,1249,3.03
"2020-06-01",41880,41880,815,1.95,41880,2395,5.72,41880,1187,2.83
"2020-07-01",45502,45502,924,2.03,45502,2646,5.82,45502,1295,2.85
"2020-08-01",47882,47882,969,2.02,47882,2866,5.99,36856,1018,2.76
"2020-09-01",36540,35492,731,2.06,25685,1480,5.76,0,0,NULL
