"day_number","eligible_users","retained_users","retention_rate_pct"
0,1000000,1000000,100.00
1,998952,20071,2.01
2,997311,40997,4.11
3,995673,46338,4.65
4,994037,52258,5.26
5,992403,59863,6.03
6,990773,68194,6.88
7,989145,58140,5.88
8,987520,47335,4.79
9,985897,50222,5.09
10,984278,50759,5.16
11,982660,50814,5.17
12,981046,49891,5.09
13,979434,48154,4.92
14,977825,44726,4.57
15,976218,44711,4.58
16,974614,43781,4.49
17,973013,42721,4.39
18,971414,41278,4.25
19,969818,39901,4.11
20,968225,38618,3.99
21,966634,37405,3.87
22,965046,36440,3.78
23,963460,35342,3.67
24,961877,34098,3.54
25,960297,32462,3.38
26,958719,31601,3.30
27,957144,30300,3.17
28,955571,29139,3.05
29,954001,27955,2.93
30,952434,26971,2.83
